student_id,gender,ethnicity,race,language,ble_kg_fall,del_kg_fall,rvo_kg_fall,syn_kg_fall,evo_kg_fall,lcp_kg_fall,nwr_kg_fall,srt_kg_fall,lnc_kg_fall,lsc_kg_fall,rao_kg_fall,wppsi4_rv_ss,wppsi4_rv_raw,wppsi4_pn_ss,wppsi4_pn_raw,wppsi4_mr_ss,wppsi4_mr_raw,ktea3_nwd_ss,ktea3_nwd_raw,ktea3_lwr_ss,ktea3_lwr_raw,celf5_sc_ss,celf5_sc_raw,celf5_rs_ss,celf5_rs_raw
11_18_0_0001,male,not hispanic,white,0.0,0.604272507,,0.140717084,-0.263238849,-0.344295107,0.120241587,-0.642126159,0.450831216,33.0,,,10.0,22.0,14.0,21.0,7.0,11.0,97.0,6.0,95.0,26.0,8.0,18.0,16.0,50.0
11_18_0_0002,,,,,,,-0.742696919,0.041187728,,,,0.80151748,40.0,,,12.0,25.0,14.0,21.0,14.0,21.0,99.0,7.0,110.0,38.0,10.0,22.0,12.0,38.0
11_18_0_0003,,,,,,,-0.835148129,-0.536097907,,,,-0.519423123,41.0,,,13.0,26.0,12.0,20.0,4.0,6.0,109.0,12.0,103.0,32.0,10.0,22.0,11.0,31.0
11_18_0_0004,,,,,0.591903265,,-0.469343724,-1.965625904,-1.544415706,0.080740527,-0.285550816,0.053896551,24.0,,,15.0,28.0,14.0,21.0,9.0,14.0,101.0,8.0,99.0,29.0,10.0,22.0,13.0,39.0
11_18_0_0005,,,,,1.228682337,,0.001714609,-0.282366946,0.536705447,-0.169987537,-0.204886747,0.85125582,44.0,,,11.0,24.0,14.0,21.0,14.0,21.0,121.0,21.0,114.0,42.0,12.0,24.0,14.0,44.0
11_18_0_0006,,,,,0.168191937,,-0.106849345,0.122098944,0.016467094,0.344018842,-0.39591078,0.443201054,38.0,,,13.0,26.0,10.0,18.0,12.0,18.0,99.0,7.0,100.0,30.0,14.0,25.0,13.0,41.0
11_18_0_0007,male,not hispanic,white,0.0,0.166265172,,-0.410902971,-0.718138597,-0.145121211,-1.096202492,-0.653530193,-0.2659593,30.0,,,10.0,22.0,12.0,20.0,10.0,16.0,88.0,3.0,92.0,24.0,9.0,19.0,9.0,24.0
11_18_0_0008,,,,,-0.085362784,,0.067389629,-0.235231441,-0.174542267,0.02502213,-0.837294701,0.118166083,22.0,,,12.0,25.0,8.0,15.0,8.0,13.0,94.0,5.0,90.0,23.0,11.0,23.0,10.0,28.0
11_18_0_0009,male,not hispanic,white,0.0,0.783123329,,-0.592385967,-0.235231441,-0.51227466,-0.162069505,-2.301838878,0.85125582,49.0,,,10.0,22.0,11.0,19.0,11.0,17.0,110.0,13.0,102.0,31.0,11.0,23.0,16.0,50.0
11_18_0_0010,female,hispanic,white,0.0,0.783123329,,-0.677647048,,-0.433639217,-0.169987537,-0.89026287,1.345833101,41.0,,,10.0,23.0,10.0,18.0,13.0,19.0,103.0,9.0,110.0,38.0,9.0,20.0,10.0,30.0
11_18_0_0011,,,,,0.783123329,,-0.650313221,0.077528299,0.079438888,0.653407855,0.616001938,0.241671686,42.0,,,10.0,23.0,14.0,21.0,11.0,17.0,105.0,10.0,107.0,35.0,14.0,25.0,18.0,58.0
11_18_0_0012,,,,,1.228682337,,-1.222921697,-0.129277985,-1.231293664,-0.168427857,-0.986728851,0.118166083,34.0,,,12.0,25.0,16.0,22.0,1.0,0.0,101.0,8.0,102.0,31.0,10.0,21.0,12.0,36.0
11_18_0_0014,,,,,0.368932276,,-0.283432484,0.358679367,-0.205691299,-0.70040762,-1.059212872,-0.660869703,45.0,,,15.0,28.0,11.0,19.0,7.0,11.0,101.0,8.0,100.0,30.0,11.0,23.0,9.0,25.0
11_18_0_0015,,,,,0.431511273,,-0.121350392,-1.346698387,0.635171944,-1.119013512,0.05754712,-0.133321403,75.0,,,1.0,0.0,1.0,0.0,1.0,0.0,88.0,3.0,104.0,33.0,9.0,20.0,9.0,24.0
11_18_0_0016,,,,,0.783123329,,-0.699366223,-1.965625904,-0.696806581,-0.21932303,-0.440465169,-0.470510326,24.0,,,12.0,25.0,11.0,19.0,6.0,10.0,91.0,4.0,116.0,44.0,7.0,16.0,10.0,28.0
11_18_0_0017,,,,,0.285976943,,-0.225525102,-1.965625904,-1.400326613,-1.689126827,-1.869168599,-0.875773147,43.0,,,11.0,24.0,5.0,12.0,9.0,14.0,91.0,4.0,99.0,29.0,9.0,20.0,7.0,18.0
11_18_0_0018,,,,,0.097496703,,-0.839315623,-1.965625904,-1.830224798,-1.821218265,-1.869168599,-0.738755791,37.0,,,8.0,20.0,8.0,15.0,5.0,7.0,91.0,4.0,95.0,26.0,9.0,20.0,8.0,22.0
11_18_0_0019,,,,,0.591903265,,-0.592799258,0.321564954,0.145059035,0.653407855,0.05754712,0.426639381,54.0,,,13.0,26.0,16.0,22.0,5.0,7.0,91.0,4.0,96.0,27.0,10.0,22.0,18.0,60.0
11_18_0_0020,,,,0.0,0.424848865,,-0.782031487,-0.788140763,0.032568345,-0.498451756,0.235404604,-1.118564157,33.0,,,10.0,22.0,9.0,17.0,10.0,16.0,88.0,3.0,93.0,25.0,7.0,16.0,9.0,23.0
11_18_0_0021,,,,,0.604272507,,-1.23572223,-1.965625904,-1.505318396,-0.44869387,-3.021066047,-0.196640263,39.0,,,8.0,20.0,12.0,20.0,8.0,13.0,117.0,18.0,118.0,46.0,9.0,19.0,11.0,32.0
11_18_0_0022,,,,,0.307036561,,0.615581159,-0.191679475,0.243054835,0.218125575,0.527305817,0.163812493,68.0,,,15.0,28.0,17.0,23.0,13.0,19.0,99.0,7.0,106.0,34.0,12.0,24.0,14.0,43.0
11_18_0_0023,,,,,0.54998374,,-0.557571012,-1.35433054,-1.208139977,-0.738712913,-0.92491605,-0.777122979,22.0,,,8.0,20.0,6.0,13.0,6.0,10.0,107.0,11.0,111.0,39.0,8.0,17.0,,
11_18_0_0024,,,,,-1.96748237,,-3.298931465,,-1.379971552,-1.859608772,-0.794593058,-2.076801865,40.0,,,8.0,20.0,12.0,20.0,7.0,11.0,94.0,5.0,96.0,27.0,9.0,19.0,6.0,10.0
11_18_0_0025,,,,,-0.592703456,,-0.85877938,-0.484936764,0.361836856,-0.709771645,-0.045011305,0.290869716,21.0,,,13.0,26.0,10.0,18.0,11.0,17.0,85.0,2.0,89.0,22.0,16.0,26.0,18.0,59.0
11_18_0_0026,,,,,0.288796236,,-1.019609945,-0.849370183,-0.2241329,-0.575270841,-0.971011681,-0.122860536,23.0,,,9.0,21.0,12.0,20.0,4.0,5.0,77.0,0.0,88.0,21.0,10.0,21.0,13.0,40.0
11_18_0_0027,,,,,0.604272507,,-1.821375214,-1.064020102,-0.991032448,-0.284090473,-0.031827892,-0.26514647,39.0,,,11.0,24.0,11.0,19.0,11.0,17.0,91.0,4.0,95.0,26.0,12.0,24.0,16.0,51.0
11_18_0_0028,,,,,1.228682337,,-0.449740558,-0.255293918,-0.082555764,-0.168427857,-0.244018502,0.118166083,47.0,,,15.0,28.0,14.0,21.0,16.0,23.0,101.0,8.0,104.0,33.0,14.0,25.0,15.0,49.0
11_18_0_0029,,,,,-0.110419557,,-0.326517078,-0.40638367,0.275554646,-0.49565178,-0.794593058,-0.273198881,27.0,,,10.0,22.0,14.0,21.0,8.0,13.0,82.0,1.0,88.0,21.0,10.0,21.0,9.0,26.0
11_18_0_0030,,,,,0.166265172,,0.139068415,-0.983222094,-0.634628747,0.398470714,-1.835469491,-0.094217472,38.0,,,12.0,25.0,12.0,20.0,11.0,17.0,91.0,4.0,92.0,24.0,9.0,19.0,13.0,42.0
11_18_0_0031,,,,,0.169548198,,-0.699419909,0.408803253,-0.607871348,0.653407855,-0.667029694,-0.588426251,39.0,,,11.0,24.0,11.0,19.0,13.0,20.0,135.0,30.0,100.0,30.0,10.0,21.0,14.0,43.0
11_18_0_0032,,,,,0.62185563,,0.578429183,0.289596221,-0.326238744,0.080740527,-0.631603275,0.003985524,55.0,,,12.0,25.0,16.0,22.0,9.0,14.0,130.0,26.0,112.0,40.0,16.0,26.0,15.0,47.0
11_18_0_0033,male,not hispanic,white,0.0,-0.540680592,,0.117814439,-0.191679475,0.396542727,0.114187754,-0.432044933,0.080025337,32.0,,,10.0,22.0,14.0,21.0,12.0,18.0,91.0,4.0,95.0,26.0,16.0,26.0,15.0,49.0
11_18_0_0034,,,,,-0.204141511,,-1.396169468,-1.02703427,-1.185790443,-0.180462742,-0.835050244,-0.273198881,33.0,,,12.0,25.0,14.0,21.0,15.0,22.0,82.0,1.0,90.0,23.0,12.0,24.0,11.0,34.0
11_18_0_0035,male,,white,0.0,1.228682337,,0.491045683,0.998325174,1.032724177,0.350595098,-0.642157591,1.283240378,42.0,,,14.0,27.0,10.0,18.0,13.0,20.0,99.0,7.0,115.0,43.0,9.0,19.0,13.0,42.0
11_18_0_0036,,,,,-0.761290773,,-0.973310107,-0.157234638,-0.179961556,-0.322539219,-0.956658003,0.267596736,30.0,,,13.0,26.0,12.0,20.0,13.0,19.0,94.0,5.0,99.0,29.0,11.0,23.0,11.0,34.0
11_18_0_0037,,,,,-1.96748237,,-0.299543095,-0.142762857,-1.256867027,-0.169987537,-0.179035902,0.426639381,20.0,,,11.0,24.0,10.0,18.0,13.0,19.0,97.0,6.0,96.0,27.0,10.0,22.0,15.0,49.0
11_18_0_0038,,,,,0.556029484,,0.564084524,-1.35433054,1.032724177,0.350595098,-1.136292925,0.426639381,28.0,,,17.0,29.0,16.0,22.0,6.0,9.0,82.0,1.0,95.0,26.0,12.0,24.0,14.0,43.0
11_18_0_0039,female,not hispanic,white,0.0,0.80718956,,-0.953270718,-1.188983605,-0.754236987,0.120241587,-0.215811591,-0.273198881,34.0,,,15.0,28.0,9.0,17.0,10.0,16.0,105.0,10.0,121.0,48.0,11.0,23.0,13.0,42.0
11_18_0_0040,,,,,-0.776201858,,-1.526505416,-1.965625904,-1.129906281,-1.720024851,-2.1816074,,4.0,,,10.0,22.0,8.0,15.0,10.0,15.0,82.0,1.0,96.0,27.0,10.0,21.0,8.0,21.0
11_18_0_0041,male,not hispanic,white,0.0,0.319472143,,-0.127512356,-0.361734526,-0.09849079,0.398470714,-0.842938304,-0.588426251,17.0,,,14.0,27.0,16.0,22.0,13.0,20.0,105.0,10.0,106.0,34.0,12.0,24.0,11.0,34.0
11_18_0_0042,,,,,1.228682337,,-0.941051476,-1.147273909,-0.4587341,-0.299031453,-0.475836679,0.513556066,45.0,,,17.0,29.0,11.0,19.0,13.0,19.0,123.0,22.0,112.0,40.0,11.0,23.0,13.0,40.0
11_18_0_0043,,,,,0.424848865,,-1.066414274,-1.965625904,-1.149037647,-1.027585352,-1.076271001,-0.588426251,35.0,,,8.0,20.0,8.0,16.0,10.0,16.0,91.0,4.0,96.0,27.0,9.0,19.0,10.0,28.0
11_18_0_0044,,,,,0.378849413,,0.151104558,0.041187728,-0.499977336,0.398470714,-1.203397727,-0.11569013,30.0,,,15.0,28.0,11.0,19.0,7.0,11.0,94.0,5.0,102.0,31.0,12.0,24.0,14.0,43.0
11_18_0_0045,,,,,1.228682337,,-0.601994415,0.321564954,0.373005312,-0.137920703,-1.485666257,-0.519423123,51.0,,,15.0,28.0,10.0,18.0,12.0,18.0,82.0,1.0,102.0,31.0,11.0,23.0,10.0,29.0
11_18_0_0046,,,,,0.783123329,,-1.619551747,-0.01447881,-0.192140588,0.114187754,-0.39591078,-0.094217472,40.0,,,13.0,26.0,10.0,18.0,4.0,6.0,113.0,15.0,108.0,36.0,12.0,24.0,11.0,31.0
11_18_0_0047,,,,,-1.072547962,,-0.672680499,-1.965625904,-1.794417119,-1.558275534,-2.340324384,-2.367774741,39.0,,,8.0,20.0,9.0,17.0,8.0,12.0,97.0,6.0,111.0,39.0,9.0,20.0,8.0,21.0
11_18_0_0048,,,,,-0.705605617,,-0.304083049,-0.546229093,0.742062032,-0.137920703,-1.328566467,-0.196640263,30.0,,,13.0,26.0,11.0,19.0,4.0,5.0,88.0,3.0,92.0,24.0,8.0,17.0,11.0,33.0
11_18_0_0049,,,,,-0.063098981,-0.146374497,-0.301029035,-1.401151855,-1.738049678,0.229303451,-1.714593064,-1.57185596,,,,8.0,20.0,10.0,18.0,7.0,11.0,82.0,1.0,92.0,24.0,10.0,22.0,,
11_18_0_0050,,,,,0.783123329,,-0.256999105,-0.718138597,-0.161332698,-0.401847304,-0.539875367,-1.561181291,60.0,,,11.0,24.0,16.0,22.0,11.0,17.0,112.0,14.0,126.0,52.0,10.0,22.0,10.0,28.0
11_18_0_0052,,,,,-0.209282617,,-1.943588237,-1.965625904,-0.782517681,,-1.410507816,-0.131629247,26.0,,,8.0,19.0,12.0,20.0,6.0,9.0,94.0,5.0,92.0,24.0,8.0,17.0,8.0,22.0
11_18_0_0053,,,,,0.783123329,,-1.497871623,-1.35433054,-0.116931009,-0.382681685,0.21561498,-0.307956806,52.0,,,10.0,23.0,14.0,21.0,10.0,16.0,109.0,12.0,112.0,40.0,9.0,20.0,10.0,28.0
11_18_0_0054,,,,,-0.50067548,,-1.301320485,-1.965625904,-0.987709549,-0.53522035,-1.775059644,-2.077868731,21.0,,,5.0,15.0,10.0,18.0,4.0,6.0,88.0,3.0,93.0,25.0,10.0,22.0,8.0,22.0
11_18_0_0055,,,,,0.319472143,,-1.643964964,-0.536097907,-1.361018483,-0.360389997,-0.852258253,-1.118353919,23.0,,,13.0,26.0,10.0,18.0,10.0,16.0,85.0,2.0,92.0,24.0,9.0,19.0,6.0,13.0
11_18_0_0056,,,,,1.228682337,,1.103427867,0.113919548,0.279478228,-0.040018228,-0.591174577,0.406392886,26.0,,,12.0,25.0,10.0,18.0,14.0,21.0,107.0,11.0,112.0,40.0,12.0,24.0,,
11_18_0_0057,,,,,0.431511273,,-0.439959791,-0.389126712,-0.96193136,-0.615560012,-1.222434496,-1.564117119,30.0,,,,,,,,,,,,,,,,
11_18_0_0058,,,,,1.228682337,,-1.634543163,-0.718138597,-0.698696351,-0.31381238,-0.653530193,0.068199124,43.0,,,10.0,23.0,10.0,18.0,9.0,14.0,130.0,26.0,128.0,54.0,9.0,19.0,9.0,26.0
11_18_0_0059,,,,,0.250873458,,-1.124018853,-1.965625904,-2.18553479,-0.624904801,-1.960296789,-1.583822207,35.0,,,12.0,25.0,7.0,14.0,4.0,6.0,85.0,2.0,93.0,25.0,10.0,21.0,6.0,11.0
11_18_0_0060,,,,,0.431511273,,-1.479052852,-1.965625904,-1.853138585,-1.703296868,-1.419775552,-0.789401745,12.0,,,5.0,14.0,10.0,18.0,8.0,13.0,101.0,8.0,96.0,27.0,7.0,15.0,9.0,23.0
11_18_0_0062,,,,,0.296860731,,0.150015552,-0.235231441,0.593021957,-0.606568984,-0.475836679,-0.122860536,44.0,,,,,,,,,,,,,,,,
11_18_0_0063,,,,,,,-1.408526432,,-3.015487781,,,-1.735215907,,,,8.0,19.0,11.0,19.0,11.0,17.0,97.0,6.0,92.0,24.0,10.0,22.0,9.0,26.0
11_18_0_0064,,,,,-0.101041853,,0.035625557,,-0.406921403,0.350595098,-0.986728851,,,,,13.0,26.0,14.0,21.0,10.0,16.0,88.0,3.0,92.0,24.0,10.0,22.0,8.0,22.0
11_18_0_0065,,,,0.0,0.243828326,,0.470778528,-0.989191726,0.412165437,-0.53522035,-0.39591078,-0.273198881,27.0,,,15.0,28.0,11.0,19.0,13.0,19.0,97.0,6.0,93.0,25.0,11.0,23.0,11.0,31.0
11_18_0_0066,,,,,0.415933541,-1.470628516,-0.38181688,,-3.270287689,-0.128799061,-0.995017314,-1.57185596,28.0,,,5.0,14.0,7.0,14.0,1.0,1.0,85.0,2.0,90.0,23.0,8.0,17.0,7.0,16.0
11_18_0_0067,,,,,0.49465991,,-1.523169224,-1.401151855,-1.342873829,-1.477592187,-1.114926669,-0.789401745,34.0,,,8.0,20.0,8.0,15.0,10.0,15.0,97.0,6.0,93.0,25.0,10.0,21.0,8.0,19.0
11_18_0_0068,,,,,-0.913477474,,-1.072094083,-1.965625904,-3.270287689,-0.641421606,-0.56359122,-0.251274823,16.0,,,8.0,19.0,9.0,17.0,9.0,14.0,85.0,2.0,90.0,23.0,14.0,25.0,14.0,46.0
11_18_0_0069,,,,,0.783123329,,-1.00860409,-1.965625904,-0.511643734,-0.70040762,-1.388204681,-0.660869703,31.0,,,10.0,22.0,10.0,18.0,8.0,12.0,99.0,7.0,93.0,25.0,10.0,22.0,9.0,24.0
11_18_0_0070,,,,,-0.490165125,,-0.904460825,-1.188983605,-2.426062925,-1.338707362,-2.74499732,-1.901493953,9.0,,,8.0,19.0,5.0,12.0,6.0,9.0,77.0,0.0,90.0,23.0,8.0,17.0,5.0,8.0
11_18_0_0071,,,,,0.783123329,,-0.074228145,0.604930516,-0.173018073,-0.62761018,0.907557904,1.273367593,27.0,,,14.0,27.0,10.0,18.0,10.0,15.0,109.0,12.0,104.0,33.0,12.0,24.0,19.0,61.0
11_18_0_0072,,,,,-0.132395094,,0.352989205,-1.965625904,-1.056119904,0.350595098,-2.078823699,-1.616394381,18.0,,,13.0,26.0,12.0,20.0,8.0,12.0,94.0,5.0,95.0,26.0,11.0,23.0,10.0,28.0
11_18_0_0073,,,,,0.783123329,,-1.23572223,-0.718138597,-1.601742293,-0.906816495,-0.593339292,-0.922722655,37.0,,,11.0,24.0,8.0,16.0,8.0,12.0,101.0,8.0,95.0,26.0,9.0,19.0,12.0,35.0
11_18_0_0074,,,,,0.235209821,,-0.293114288,-1.02703427,-1.619733068,0.350595098,-1.305253163,0.308340637,33.0,,,10.0,23.0,11.0,19.0,7.0,11.0,103.0,9.0,108.0,36.0,12.0,24.0,14.0,44.0
11_18_0_0075,,,,,0.135571147,,-1.29730261,-1.35433054,-0.181939602,0.114187754,-0.37164906,-0.273198881,25.0,,,9.0,21.0,12.0,20.0,6.0,9.0,103.0,9.0,102.0,31.0,9.0,20.0,11.0,34.0
11_18_0_0076,,,,,0.000414602,,-1.311548155,-1.965625904,-1.583437337,-1.565192425,-0.215811591,-2.47730472,52.0,,,5.0,14.0,12.0,20.0,12.0,18.0,112.0,14.0,121.0,48.0,4.0,6.0,7.0,16.0
11_18_0_0077,,,,,0.293742253,,-0.85600472,-1.965625904,-1.157728847,-0.477402634,-0.779430629,-0.04662926,39.0,,,13.0,26.0,10.0,18.0,4.0,6.0,88.0,3.0,102.0,31.0,14.0,25.0,14.0,44.0
11_18_0_0078,,,,,0.783123329,,-1.060379296,-1.401151855,-0.798827482,-2.081149227,0.193980576,-0.789401745,16.0,,,10.0,23.0,12.0,20.0,10.0,16.0,94.0,5.0,95.0,26.0,10.0,22.0,11.0,31.0
11_18_0_0079,,,,,-0.172010922,,-0.436023927,-1.965625904,-0.381700099,-1.534244933,-1.026739988,-0.416296112,21.0,,,14.0,27.0,11.0,19.0,10.0,16.0,85.0,2.0,96.0,27.0,10.0,21.0,12.0,35.0
11_18_0_0080,,,,,0.319472143,,0.638623299,-0.191679475,0.290810364,0.653407855,-1.188256939,-0.901392093,19.0,,,12.0,25.0,10.0,18.0,4.0,6.0,82.0,1.0,92.0,24.0,10.0,22.0,9.0,25.0
11_18_0_0081,,,,,-0.434157103,-2.330603465,-1.684344296,-1.289818333,-1.219612409,-1.854500842,-1.716889552,-2.776271957,37.0,,36.0,7.0,17.0,12.0,20.0,4.0,5.0,77.0,0.0,89.0,22.0,1.0,0.0,3.0,3.0
11_18_0_0082,male,hispanic,multi-racial,0.0,0.327227254,,0.309026209,-0.531077545,0.017167324,-0.873891773,-1.012710196,-1.182348821,21.0,,,9.0,21.0,10.0,18.0,8.0,13.0,97.0,6.0,102.0,31.0,10.0,22.0,13.0,42.0
11_18_0_0083,,,,,-0.10051918,,-1.489187385,-1.965625904,-2.66957665,-0.713035319,-1.766614387,-0.630642581,24.0,,,12.0,25.0,11.0,19.0,8.0,13.0,97.0,6.0,92.0,24.0,8.0,18.0,8.0,20.0
11_18_0_0084,,,,,0.416736467,,0.015062381,-1.965625904,-0.326238744,0.120241587,-1.688724745,-0.637776097,11.0,,,,,,,,,,,,,,,,
11_18_0_0085,,,,,-0.268280191,,-0.603277439,-1.965625904,-0.106720633,-2.684904825,-1.123974265,-1.407837622,17.0,,,10.0,22.0,14.0,21.0,8.0,12.0,97.0,6.0,97.0,28.0,11.0,23.0,10.0,28.0
11_18_0_0086,,,,,0.212632235,,-0.679166572,-1.965625904,0.186688946,-0.128832827,-1.586019642,0.406392886,25.0,,,8.0,19.0,12.0,20.0,9.0,14.0,82.0,1.0,95.0,26.0,9.0,19.0,12.0,38.0
11_18_0_0087,,,,,-0.710413682,,-0.144347504,-1.965625904,-1.227347167,0.398470714,-1.668650743,-0.887828223,16.0,,,13.0,26.0,10.0,18.0,5.0,8.0,82.0,1.0,92.0,24.0,8.0,18.0,7.0,18.0
