CODED_ID,SCHOOL_ID,GRADE,GENDER,FNR_STATUS_CODE,FNR_STATUS_DESCRIPTION,SINGLE_ETHNICITY,LEP_CODE,LEP_DESCRIPTION,PRIM_EX_CODE,PRIM_EX,OTHER_EX_CODES,OTHER_EX,GIFTED,ESE,HOMELESS_CODE,HOMELESS_CAUSE,HOMELESS_UNAC_YTH,GIFTED_ELIG,S504,PRIM_HOME_LANG,LNF,PSF,NWF_Letter,NWF_Word,ORF_WC,UnifiedScore,FAST_Equivalent_Score,PR,NCE,Overall_Scale_Score,Phonological_Awareness_Scale_Score,Phonics_Scale_Score,Vocabulary_Scale_Score,FAST_PM3_AchievementLevel,iReady_Spring_Placement
1194123,41,2,M,D,Direct Cert/Free Lunch [D],White,ZZ,Not applicable [ZZ],V,V - Other Health Impaired,"G,H,P","G - Language Impaired,H - Deaf or Hard Of Hearing,P - Autism Spectrum Disorder",N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,28.0,8.0,12.0,835.0,150.0,36.0,42.5,454.0,,497.0,416.0,Level 2,
1200647,41,2,M,D,Direct Cert/Free Lunch [D],White,ZZ,Not applicable [ZZ],V,V - Other Health Impaired,,,N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,21.0,7.0,12.0,746.0,119.0,8.0,20.4,393.0,396.0,394.0,395.0,Level 2,1 Grade Level Below
1201297,41,2,F,D,Direct Cert/Free Lunch [D],White,ZZ,Not applicable [ZZ],W,W - Intellectual Disability,"D,G,V","D - Occupational Therapy,G - Language Impaired,V - Other Health Impaired",N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,,,,683.0,98.0,4.0,13.1,333.0,319.0,336.0,306.0,Level 1,2 Grade Levels Below
1204691,41,2,M,F,Eligible for Free Lunch [F],Other,ZZ,Not applicable [ZZ],W,W - Intellectual Disability,"D,F,G","D - Occupational Therapy,F - Speech Impaired,G - Language Impaired",N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,0.0,0.0,,584.0,65.0,1.0,1.0,312.0,263.0,303.0,304.0,,2 Grade Levels Below
1205353,41,1,M,D,Direct Cert/Free Lunch [D],Black or African American,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,59.0,41.0,59.0,17.0,37.0,796.0,136.0,69.0,60.4,414.0,432.0,429.0,389.0,Level 4,Mid or Above Grade Level
1205434,41,2,F,0,Paid Lunch [0],Hispanic,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Section 504 Eligible + Plan [Y],EN,,,36.0,7.0,37.0,796.0,136.0,23.0,34.4,434.0,454.0,397.0,459.0,Level 2,Early On Grade Level
1205446,41,1,F,0,Paid Lunch [0],Hispanic,ZZ,Not applicable [ZZ],V,V - Other Health Impaired,"F,G,T","F - Speech Impaired,G - Language Impaired,T - Developmentally Delayed",N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,38.0,4.0,1.0,0.0,,591.0,67.0,1.0,1.0,359.0,338.0,377.0,337.0,Level 1,1 Grade Level Below
1206233,41,2,M,3,Eligible for Reduced Lunch [3],White,ZZ,Not applicable [ZZ],K,K - Specific Learning Disabled,,,N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,40.0,8.0,28.0,785.0,133.0,19.0,31.5,399.0,423.0,438.0,357.0,Level 2,Early On Grade Level
1206724,41,2,F,D,Direct Cert/Free Lunch [D],Other,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,77.0,26.0,60.0,930.0,182.0,74.0,63.5,495.0,,509.0,478.0,Level 4,Mid or Above Grade Level
1206737,41,1,F,0,Paid Lunch [0],White,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Section 504 Eligible + Plan [Y],EN,28.0,26.0,18.0,0.0,1.0,761.0,125.0,53.0,51.6,393.0,392.0,367.0,397.0,Level 2,Mid or Above Grade Level
