Index,ED,ESE,504,ELL,Sum Days Sus,ADA,PY SS,FAST PM1 SS,CY IR SS PM1,ELA QC,Port S1,CY IR SS PM2,FAST PM2 SS,CY IR SS PM3,Port S2,FAST PM3 SS,below_level_2,below_level_3
1,1,0,0,0,0,0.531791908,,211.0,555.0,85.0,75.071,,209.0,587.0,81.72275,219,0.0,0.0
2,1,0,0,0,0,0.560693642,201.0,192.0,519.0,54.0,54.701,519.0,187.0,530.0,50.4205,210,0.0,0.0
3,1,1,0,0,0,0.593023256,144.0,164.0,422.0,23.0,21.36733333,461.0,175.0,522.0,55.8825,188,0.0,1.0
4,1,0,0,0,0,0.606936416,224.0,199.0,584.0,85.0,67.66366667,547.0,195.0,532.0,55.602,196,0.0,1.0
5,0,0,0,0,0,0.636363636,,,,,,,,591.0,62.185,234,0.0,0.0
6,0,1,0,0,0,0.666666667,,,,,,,,,,169,1.0,1.0
7,1,0,0,0,0,0.676300578,190.0,,515.0,85.0,86.03966667,536.0,212.0,551.0,76.471,219,0.0,0.0
8,1,0,0,0,0,0.705202312,,173.0,464.0,69.0,71.36733333,481.0,140.0,514.0,41.91175,200,0.0,1.0
9,1,0,0,0,0,0.728323699,167.0,184.0,504.0,58.0,40.862,463.0,172.0,499.0,38.025,187,0.0,1.0
10,0,1,0,0,0,0.739130435,,,,,,,,,,173,1.0,1.0
11,1,0,0,0,1,0.739884393,174.0,177.0,462.0,54.0,49.288,486.0,185.0,493.0,33.92825,191,0.0,1.0
12,1,0,1,0,0,0.74566474,117.0,147.0,400.0,46.0,36.966,390.0,174.0,373.0,14.706,172,1.0,1.0
13,1,0,0,0,0,0.751445087,198.0,198.0,512.0,62.0,48.148,487.0,192.0,510.0,40.96625,192,0.0,1.0
14,1,1,0,0,0,0.76300578,157.0,172.0,462.0,69.0,71.36733333,481.0,198.0,553.0,74.36975,195,0.0,1.0
15,1,0,0,0,0,0.76744186,167.0,181.0,477.0,46.0,41.59566667,479.0,192.0,503.0,51.68033333,194,0.0,1.0
16,1,1,0,0,0,0.774566474,199.0,193.0,515.0,85.0,77.208,482.0,198.0,515.0,83.47333333,193,0.0,1.0
17,1,0,0,1,0,0.779141104,150.0,,335.0,,42.857,364.0,172.0,373.0,11.765,179,1.0,1.0
18,1,1,0,0,0,0.780346821,75.0,179.0,405.0,92.0,91.16833333,451.0,140.0,430.0,54.832,187,0.0,1.0
19,1,0,1,0,0,0.780346821,198.0,188.0,507.0,77.0,75.071,556.0,203.0,554.0,52.381,210,0.0,0.0
