Index,ED,ESE,504,ELL,Sum Days Sus,ADA,PY SS,FAST PM1 SS,CY IR SS PM1,ELA QC,Port S1,CY IR SS PM2,FAST PM2 SS,CY IR SS PM3,Port S2,FAST PM3 SS
1,1,0,0,0,0,0.531791908,,211,555,85,75.071,,209,587,81.72275,219
2,1,0,0,0,0,0.560693642,201,192,519,54,54.701,519,187,530,50.4205,210
3,1,1,0,0,0,0.593023256,144,164,422,23,21.36733333,461,175,522,55.8825,188
4,1,0,0,0,0,0.606936416,224,199,584,85,67.66366667,547,195,532,55.602,196
5,0,0,0,0,0,0.636363636,,,,,,,,591,62.185,234
6,0,1,0,0,0,0.666666667,,,,,,,,,,169
7,1,0,0,0,0,0.676300578,190,,515,85,86.03966667,536,212,551,76.471,219
8,1,0,0,0,0,0.705202312,,173,464,69,71.36733333,481,140,514,41.91175,200
9,1,0,0,0,0,0.728323699,167,184,504,58,40.862,463,172,499,38.025,187
10,0,1,0,0,0,0.739130435,,,,,,,,,,173
11,1,0,0,0,1,0.739884393,174,177,462,54,49.288,486,185,493,33.92825,191
12,1,0,1,0,0,0.74566474,117,147,400,46,36.966,390,174,373,14.706,172
13,1,0,0,0,0,0.751445087,198,198,512,62,48.148,487,192,510,40.96625,192
14,1,1,0,0,0,0.76300578,157,172,462,69,71.36733333,481,198,553,74.36975,195
15,1,0,0,0,0,0.76744186,167,181,477,46,41.59566667,479,192,503,51.68033333,194
16,1,1,0,0,0,0.774566474,199,193,515,85,77.208,482,198,515,83.47333333,193
17,1,0,0,1,0,0.779141104,150,,335,,42.857,364,172,373,11.765,179
18,1,1,0,0,0,0.780346821,75,179,405,92,91.16833333,451,140,430,54.832,187
19,1,0,1,0,0,0.780346821,198,188,507,77,75.071,556,203,554,52.381,210
20,1,1,0,0,0,0.786127168,177,173,461,62,61.3245,413,180,474,68.6975,189
21,1,0,0,0,0,0.786127168,246,229,608,85,94.87166667,631,235,638,84.3485,257
22,1,0,0,0,0,0.786127168,139,160,399,31,20.94,407,164,472,33.053,173
23,1,0,0,0,0,0.791907514,162,183,478,46,46.154,500,172,507,38.65525,181
24,1,1,0,0,0,0.791907514,186,194,477,38,46.154,518,185,496,66.24633333,188
25,1,0,0,0,0,0.791907514,218,212,577,100,91.6665,580,212,618,92.157,234
26,0,0,0,0,0,0.791907514,187,197,,77,82.76333333,523,188,527,65.44125,212
27,1,0,0,1,0,0.791907514,184,189,511,69,65.812,518,205,539,72.584,222
28,1,0,0,0,0,0.795454545,,198,,,79.06,536,201,540,76.99575,216
29,1,1,0,0,0,0.797619048,,,,,,,,396,35.15433333,184
30,1,1,0,0,0,0.797687861,,,481,77,73.93133333,506,204,534,42.577,218
31,1,0,0,0,0,0.797687861,201,191,533,92,65.09966667,557,,561,77.591,225
32,0,1,0,0,0,0.797687861,162,159,401,69,63.248,469,196,514,61.06466667,191
33,1,0,1,1,0,0.803468208,158,140,541,46,29.05966667,479,159,469,35.294,196
34,1,0,0,1,0,0.803468208,180,187,484,77,64.38766667,518,191,527,53.22133333,210
35,1,0,0,0,0,0.803468208,,,,,83.333,,,,,191
36,1,0,0,0,0,0.80625,192,,478,54,52.99166667,507,199,503,51.54066667,199
37,1,0,1,0,0,0.809248555,,140,525,62,72.4355,579,211,544,77.17066667,217
38,1,1,0,0,0,0.809248555,170,152,481,69,61.396,502,177,515,41.2815,196
39,1,1,0,0,0,0.809248555,143,168,358,23,25.356,317,161,392,32.1425,160
40,1,0,0,0,0,0.809248555,187,211,525,100,82.76333333,559,214,581,82.87825,227
41,1,0,1,0,0,0.809248555,192,201,546,69,46.29633333,551,214,560,69.32766667,212
42,1,0,0,0,0,0.809248555,186,194,523,77,78.34766667,526,192,515,67.85725,204
43,1,0,0,0,0,0.809248555,188,182,496,85,78.34733333,533,201,605,86.1345,213
44,1,0,0,0,0,0.810344828,,,,,,,,585,70.588,228
45,0,1,0,0,0,0.814814815,,,,,,,,,,160
46,1,1,0,0,1,0.815028902,75,163,369,,28.205,436,176,512,43.13733333,140
47,1,0,0,0,0,0.820809249,214,210,543,77,62.53566667,582,201,580,82.353,234
48,1,0,0,0,0,0.820809249,148,170,472,38,34.61566667,489,178,517,54.30675,187
49,1,0,0,0,0,0.820809249,205,193,532,62,72.4355,540,212,553,53.22133333,216
50,1,0,0,0,0,0.820809249,171,140,498,85,77.635,522,203,568,54.30675,212
51,0,0,0,0,0,0.822429907,,,,,,550,201,571,90.89633333,232
52,1,1,0,0,0,0.826589595,133,154,366,,,374,147,385,,191
53,1,1,0,0,1,0.826589595,181,179,418,85,54.416,447,180,462,29.412,187
54,1,0,0,0,0,0.826589595,236,221,610,92,97.436,624,240,655,85.43433333,240
55,1,0,1,0,0,0.826589595,164,159,482,62,52.564,516,180,520,41.73666667,204
56,1,0,0,0,0,0.826589595,172,166,513,62,58.83166667,513,179,527,56.3025,214
57,1,1,0,0,0,0.831395349,149,171,418,46,36.46733333,442,186,486,46.63875,180
58,1,0,0,0,0,0.832369942,188,188,505,77,63.248,514,180,513,45.378,189
59,1,0,0,0,0,0.832369942,189,200,531,92,85.043,535,208,556,73.249,209
60,1,1,0,0,0,0.838150289,170,173,429,8,16.95166667,431,140,461,24.36966667,185
61,1,1,0,0,0,0.838150289,131,164,382,,22.222,372,140,494,,204
62,1,0,1,0,0,0.838150289,207,202,,77,70.65533333,539,195,539,68.4875,210
